UID         PID   PPID  C STIME TTY          TIME CMD
root       1304      2  0 Jan06 ?        00:00:00 [xfs-eofblocks/d]
root       1306      2  0 Jan06 ?        00:00:00 [xfs-buf/dm-3]
root       1307      2  0 Jan06 ?        00:00:00 [xfs-data/dm-3]
root       1308      2  0 Jan06 ?        00:00:00 [xfsaild/dm-2]
root       1309      2  0 Jan06 ?        00:00:00 [xfs-buf/dm-4]
root       1311      2  0 Jan06 ?        00:00:00 [xfs-conv/dm-3]
root       1312      2  0 Jan06 ?        00:00:00 [xfs-data/dm-4]
root       1313      2  0 Jan06 ?        00:00:00 [xfs-cil/dm-3]
root       1314      2  0 Jan06 ?        00:00:00 [xfs-conv/dm-4]
root       1315      2  0 Jan06 ?        00:00:00 [xfs-reclaim/dm-]
root       1316      2  0 Jan06 ?        00:00:00 [xfs-cil/dm-4]
root       1317      2  0 Jan06 ?        00:00:00 [xfs-log/dm-3]
root       1318      2  0 Jan06 ?        00:00:00 [xfs-reclaim/dm-]
root       1319      2  0 Jan06 ?        00:00:00 [xfs-eofblocks/d]
root       1320      2  0 Jan06 ?        00:00:00 [xfs-log/dm-4]
root       1321      2  0 Jan06 ?        00:00:00 [xfs-eofblocks/d]
root       1322      2  0 Jan06 ?        00:04:05 [xfsaild/dm-3]
root       1323      2  0 Jan06 ?        00:02:41 [xfsaild/dm-4]
root       1357   2032  0 12:51 ?        00:00:00 sshd: anjulo [priv]
anjulo     1360   1357  0 12:51 ?        00:00:00 sshd: anjulo@notty
anjulo     1361   1360  0 12:51 ?        00:00:00 bash
root       1383      1  0 Jan06 ?        00:00:36 /sbin/auditd
root       1391      2  0 Jan06 ?        00:00:00 [rpciod]
root       1392      2  0 Jan06 ?        00:00:00 [xprtiod]
root       1398      2  0 Jan06 ?        00:00:00 [rdma_cm]
root       1439      2  0 12:51 ?        00:00:00 [kworker/u544:0]
root       1440      1  0 Jan06 ?        00:00:01 /usr/sbin/sssd -i --logger=files
polkitd    1442      1  0 Jan06 ?        00:00:54 /usr/lib/polkit-1/polkitd --no-debug
dbus       1444      1  0 Jan06 ?        00:02:40 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
rpc        1445      1  0 Jan06 ?        00:00:04 /sbin/rpcbind -w
root       1446      1  0 Jan06 ?        00:00:01 /usr/sbin/gssproxy -D
root       1447      2  0 Jan06 ?        00:00:00 [srp_remove]
root       1465      1  0 Jan06 ?        00:08:23 /usr/sbin/irqbalance --foreground
root       1472      2  0 Jan06 ?        00:00:00 [target_completi]
root       1473      2  0 Jan06 ?        00:00:00 [tmr-rd_mcp]
root       1474      2  0 Jan06 ?        00:00:00 [xcopy_wq]
root       1475      1  0 Jan06 ?        00:05:48 /usr/bin/python2 -Es /usr/sbin/firewalld --nofork --nopid
chrony     1480      1  0 Jan06 ?        00:00:06 /usr/sbin/chronyd
root       1483   1440  0 Jan06 ?        00:28:23 /usr/libexec/sssd/sssd_be --domain default --uid 0 --gid 0 --logger=files
root       1501      2  0 Jan06 ?        00:00:00 [iscsi_eh]
root       1528      2  0 Jan06 ?        00:00:00 [xprtrdma_receiv]
root       1539   1440  0 Jan06 ?        00:08:49 /usr/libexec/sssd/sssd_nss --uid 0 --gid 0 --logger=files
root       1540   1440  0 Jan06 ?        00:01:43 /usr/libexec/sssd/sssd_pam --uid 0 --gid 0 --logger=files
root       1541   1440  0 Jan06 ?        00:08:12 /usr/libexec/sssd/sssd_autofs --uid 0 --gid 0 --logger=files
root       1542   1440  0 Jan06 ?        00:00:06 /usr/libexec/sssd/sssd_ssh --uid 0 --gid 0 --logger=files
root       1544      1  0 Jan06 ?        00:00:45 /usr/sbin/NetworkManager --no-daemon
root       1547      1  0 Jan06 ?        00:01:33 /usr/lib/systemd/systemd-logind
root       1590      2  0 12:52 ?        00:00:00 [kworker/u546:3]
root       1627      2  0 Jan06 ?        00:00:01 [kworker/16:1H]
root       1643      2  0 Jan06 ?        00:00:00 [nm-bond]
root       1727   2032  0 12:52 ?        00:00:00 sshd: jwrha96 [priv]
jwrha96    1730   1727  0 12:52 ?        00:00:00 sshd: jwrha96@notty
jwrha96    1731   1730  0 12:52 ?        00:00:00 -bash
root       1750   1544  0 Jan06 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/libexec/nm-dhcp-helper -pf /var/run/dhclient-em1.pid -lf /var/lib/NetworkManager/dhclient-1dad842d-1912-ef5a-a43a-bc238fb267e7-em1.lease -cf /var/lib/NetworkManager/dhclient-em1.conf em1
root       1755      2  0 Jan06 ?        00:00:00 [kworker/34:1H]
jwrha96    1772   1731  0 12:52 ?        00:00:00 bash
root       1943   2032  0 12:53 ?        00:00:00 sshd: gbikhazi20 [priv]
root       1945      2  0 12:53 ?        00:00:00 [kworker/u545:1]
gbikhaz+   1958   1943  0 12:53 ?        00:00:00 sshd: gbikhazi20
root       1962      2  0 12:53 ?        00:00:00 [kworker/0:1]
root       2026      1  0 Jan06 ?        00:23:22 /usr/bin/python /usr/bin/goferd --foreground
root       2027      1  0 Jan06 ?        00:01:26 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root       2028      1  0 Jan06 ?        00:00:44 /opt/puppetlabs/puppet/bin/ruby /opt/puppetlabs/puppet/bin/puppet agent --no-daemonize
root       2030      1  0 Jan06 ?        00:00:00 /usr/bin/rhsmcertd
root       2031      1  0 Jan06 ?        00:00:00 /usr/sbin/cupsd -f
root       2032      1  0 Jan06 ?        00:01:05 /usr/sbin/sshd -D
node-ex+   2037      1 17 Jan06 ?        2-00:43:26 /usr/local/bin/node_exporter --collector.filesystem.ignored-fs-types=^(nfs|tmpfs)$ --collector.processes
root       2041      1  0 Jan06 ?        00:01:31 /usr/sbin/rsyslogd -n
root       2042   2032  0 12:53 ?        00:00:00 sshd: anjulo [priv]
rpcuser    2043      1  0 Jan06 ?        00:00:02 /usr/sbin/rpc.statd
anjulo     2045   2042  0 12:53 ?        00:00:00 sshd: anjulo@notty
root       2046      1  0 Jan06 ?        00:54:55 /usr/bin/python2 -s /usr/bin/fail2ban-server -xf start
anjulo     2047   2045  0 12:53 ?        00:00:00 bash
root       2084      2  0 Jan06 ?        00:00:00 [nfsiod]
root       2097      2  0 Jan06 ?        00:00:00 [kworker/1:1H]
root       2098      2  0 Jan06 ?        00:00:00 [kworker/15:1H]
root       2099      2  0 Jan06 ?        00:00:00 [kworker/3:1H]
root       2102      2  0 Jan06 ?        00:00:00 [kworker/11:1H]
root       2104      2  0 Jan06 ?        00:00:00 [lockd]
root       2113      1  0 Jan06 ?        00:09:37 /usr/sbin/automount --systemd-service --dont-check-daemon
root       2119      1  0 Jan06 ?        00:00:11 /usr/sbin/crond -n
root       2125      1  0 Jan06 ?        00:00:00 /usr/sbin/atd -f
root       2175      2  0 Jan06 ?        00:00:00 [kworker/21:1H]
aposter    2182 241455  0 12:54 pts/79   00:00:01 emacs ./sexp.ml
root       2186   2032  0 12:54 ?        00:00:00 sshd: bgrosario [priv]
bgrosar+   2194   2186  0 12:54 ?        00:00:00 sshd: bgrosario@pts/217
bgrosar+   2196   2194  0 12:54 pts/217  00:00:00 -bash
jostape+   2243      1  0 Jan16 ?        00:00:00 /usr/bin/ssh-agent
satishn+   2250      1  0 12:54 ?        00:00:00 /usr/bin/ssh-agent
root       2257      1  0 Jan06 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root       2318      2  0 12:54 ?        00:00:00 [kworker/29:1]
root       2326   2032  0 12:54 ?        00:00:00 sshd: davidcalef [priv]
